co_ies,no_ies,sg_ies,sg_uf,co_municipio,no_municipio,no_sitio_ies
594,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,CEFET/MG,MG,3106200,Belo Horizonte,https://copeve.cefetmg.br
593,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA,CEFET/RJ,RJ,3304557,Rio de Janeiro,www.cefet-rj.br
21503,COLÉGIO PEDRO II,CP II,RJ,3304557,Rio de Janeiro,https://cp2.g12.br/index.php
26,ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS,ENCE,RJ,3304557,Rio de Janeiro,https://ence.ibge.gov.br/index.php/portal-graduacao/portal-graduacao-sisuenem
19588,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO,FAETERJ CAXIAS,RJ,3304557,Rio de Janeiro,https://www.faetec.rj.gov.br
5053,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO,FAETERJ PARACAMBI,RJ,3304557,Rio de Janeiro,https://www.faeterj-prc.faetec.rj.gov.br/
5017,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ,FAETERJ PETRÓPOLIS,RJ,3304557,Rio de Janeiro,www.faetec.rj.gov.br
5016,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO FERNANDO MOTA,FAETERJ-RIO,RJ,3304557,Rio de Janeiro,http://www.faeterj-rio.edu.br/
22015,FACULDADE MUNICIPAL DE EDUCAÇÃO E MEIO AMBIENTE,FAMA,PR,4105706,Clevelândia,https://famapr.edu.br/sisu/
431,FACULDADE DE MEDICINA DE MARÍLIA,FAMEMA,SP,3529005,Marília,https://www.famema.br/ensino/SISU/sisu.php
12,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,RS,4315602,Rio Grande,https://sisu.furg.br
5036,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE",IF CATARINENSE,SC,4202404,Blumenau,https://ingresso.ifc.edu.br/documentos-de-matricula/
1120,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE",IF FLUMINENSE,RJ,3301009,Campos dos Goytacazes,http://selecoes.iff.edu.br/
3161,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SERTÃO PERNAMBUCANO",IF SERTÃO-PE,PE,2611101,Petrolina,https://ifsertaope.edu.br/estude-no-ifsertaope/cursos-superiores/
4358,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS",IF SUL DE MINAS,MG,3152501,Pouso Alegre,https://portal.ifsuldeminas.edu.br/attachments/article/6500/Edital%20212-2024%20-%20Cursos%20Superiores%202025-1%20-%20RET%2002.pdf
1812,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO AMAZONAS",IFAM,AM,1302603,Manaus,https://estudenoifam2025.ifam.edu.br
15522,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ",IFAP,AP,1600303,Macapá,https://ifap.edu.br/index.php/ensino/sisu
14408,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIENCIA E TECNOLOGIA DE BRASILIA",IFB,DF,5300108,Brasília,https://www.ifb.edu.br
599,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA",IFBA,BA,2927408,Salvador,https://portal.ifba.edu.br/sisu/2025
14509,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO",IFBAIANO,BA,2927408,Salvador,www.ifbaiano.edu.br
1807,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ",IFCE,CE,2304400,Fortaleza,https://ifce.edu.br/proen/sisu
1808,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO",IFES,ES,3205309,Vitória,www.ifes.edu.br
1811,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS",IFG,GO,5208707,Goiânia,http://www.ifg.edu.br/estude-no-ifg
